Papel;Segmento;Cotação;FFO Yield;Dividend Yield;P/VP;Valor de Mercado;Liquidez;Qtd de imóveis;Preço do m2;Aluguel por m2;Cap Rate;Vacância Média
LFTT11;Residencial;108,24;-3,34%;2,90%;1,77;760.337.000;1.253.920;413;15.423,80;4,07;0,03%;0,00%
LGCP11;Logística;89,89;6,80%;3,66%;0,91;245.657.000;249.569;5;3.029,14;217,13;7,17%;0,00%
LUGG11;Residencial;93,35;9,20%;3,37%;0,85;84.015.000;51.064;4;3.796,57;536,53;14,13%;2,60%
LVBI11;Logística;103,88;5,06%;3,42%;0,94;1.223.210.000;2.747.920;8;2.183,79;151,18;6,92%;0,00%
MALL11;Shoppings;94,51;7,71%;2,53%;0,9;714.529.000;1.691.010;5;3.634,90;339,71;9,35%;5,36%
MAXR11;Híbrido;80,9;8,86%;5,98%;0,69;91.065.500;139.784;11;1.111,14;108,89;9,80%;0,00%
MBRF11;Outros;865,02;11,58%;6,20%;0,76;87.941.400;51.712;2;4.917,41;634,37;12,90%;0,00%
MCCI11;Títulos e Val. Mob.;102,06;0,00%;3,89%;1,01;911.131.000;4.260.150;0;0;0;0,00%;0,00%
MFAI11;Híbrido;91,73;0,02%;11,14%;0,97;27.810.100;93.337;0;0;0;0,00%;0,00%
MFII11;Híbrido;103,82;6,89%;6,30%;0,88;412.553.000;1.017.810;11;61,09;0;0,00%;0,00%
MGCR11;Títulos e Val. Mob.;92;1,49%;1,48%;0,97;130.852.000;114.721;0;0;0;0,00%;0,00%
MGFF11;Títulos e Val. Mob.;76,2;4,38%;4,72%;0,9;689.657.000;2.332.200;0;0;0;0,00%;0,00%
MGHT11;Híbrido;96,74;3,97%;4,37%;0,95;101.390.000;93.056;1;9.466,44;144,83;1,53%;0,00%
MORE11;Títulos e Val. Mob.;88,99;0,77%;6,30%;0,91;206.378.000;651.571;0;0;0;0,00%;0,00%
MXRF11;Híbrido;9,99;3,33%;4,56%;1;2.258.140.000;9.724.640;2;11.679,90;0;0,00%;100,00%
NAVT11;Títulos e Val. Mob.;79,01;0,06%;0,00%;0,82;83.316.600;326.504;0;0;0;0,00%;0,00%
NCHB11;Títulos e Val. Mob.;93,07;3,02%;6,24%;0,99;134.204.000;457.252;0;0;0;0,00%;0,00%
NEWL11;Híbrido;104,99;4,92%;5,11%;0,98;213.482.000;181.159;1;7.823,72;330,23;4,22%;0,00%
NEWU11;Híbrido;35,26;-4,12%;0,31%;0,56;26.162.900;7.498;3;1.868,38;264,38;14,15%;42,33%
NPAR11;Outros;18,45;-13,00%;0,00%;0,16;2.206.440;23.581;0;0;0;0,00%;0,00%
NSLU11;Hospital;238,5;9,75%;5,80%;1,12;273.035.000;239.069;1;11.487,90;1.619,69;14,10%;0,00%
NVHO11;Hospital;12,01;9,94%;5,28%;0,97;498.349.000;3.971;4;16.327,80;1.655,26;10,14%;0,00%
ONEF11;Lajes Corporativas;137,56;5,67%;3,12%;0,86;125.317.000;122.439;1;20.527,20;1.340,58;6,53%;0,00%
ORPD11;Títulos e Val. Mob.;132,5;0,00%;0,00%;0,9;38.425.000;293;0;0;0;0,00%;0,00%
OUFF11;Títulos e Val. Mob.;80,18;4,35%;4,84%;0,91;145.473.000;293.321;0;0;0;0,00%;0,00%
OUJP11;Híbrido;95,2;5,48%;4,44%;0,92;309.627.000;847.696;0;0;0;0,00%;0,00%
OULG11;Logística;67,68;17,18%;6,10%;0,72;167.933.000;203.607;2;1.687,47;324,48;19,23%;0,00%
OURE11;Híbrido;86,8;11,25%;1,23%;0,87;72.203.400;107.742;5;3.781,41;129,6;3,43%;0,00%
PATC11;Lajes Corporativas;67;4,87%;2,49%;0,78;232.988.000;380.827;5;20.373,50;1.322,39;6,49%;19,73%
PATL11;Logística;82;4,46%;3,18%;0,85;409.306.000;1.576.240;2;2.624,59;151,35;5,77%;7,55%
PEMA11;Títulos e Val. Mob.;92;1,53%;0,00%;0,91;50.784.000;61;0;0;0;0,00%;0,00%
PLCR11;Híbrido;92,8;4,95%;3,99%;0,95;195.731.000;609.562;0;0;0;0,00%;0,00%
PLOG11;Residencial;89,21;0,01%;0,00%;0,94;66.907.500;97.237;1;902,29;0;0,00%;0,00%
PLRI11;Títulos e Val. Mob.;44,44;-1,91%;16,95%;0,8;42.409.300;16.063;0;0;0;0,00%;0,00%
PORD11;Títulos e Val. Mob.;98,37;11,00%;5,39%;0,97;194.069.000;503.857;0;0;0;0,00%;0,00%
PQAG11;Logística;61;5,33%;3,89%;1,12;853.505.000;8.063;1;13.580,40;729,86;5,37%;0,00%
PQDP11;Shoppings;2.324,12;7,40%;1,88%;0,64;554.249.000;341.403;1;2.154,30;72,24;3,35%;3,33%
PRSN11B;Residencial;0,64;-3,63%;9,27%;1,42;33.088.000;100.202;2;69.254,20;0;0,00%;0,00%
PRSV11;Lajes Corporativas;135,77;12,83%;1,94%;0,57;26.475.200;13.358;1;2.464,23;555,46;22,54%;40,90%
PVBI11;Lajes Corporativas;95,2;4,05%;2,40%;0,99;925.344.000;2.198.590;2;17.297,10;797,94;4,61%;0,00%
QAGR11;Lajes Corporativas;51,32;8,34%;2,71%;0,88;258.653.000;737.310;12;471,35;33,75;7,16%;0,00%
QAMI11;Híbrido;93,2;0,00%;0,00%;0,98;74.690.300;13.967;0;0;0;0,00%;0,00%
QIFF11;Títulos e Val. Mob.;98,79;2,98%;0,00%;1,03;14.818.500;20.998;0;0;0;0,00%;0,00%
RBBV11;Títulos e Val. Mob.;100;6,51%;2,12%;1;125.416.000;145.998;0;0;0;0,00%;0,00%
RBCO11;Lajes Corporativas;56,1;10,20%;6,98%;0,55;212.002.000;191.129;4;4.638,98;573,98;12,37%;31,64%
RBDS11;Residencial;20;-46,68%;0,00%;0,64;2.530.460;1.842;1;0;0;0,00%;0,00%
RBED11;Outros;140,16;7,74%;4,81%;0,93;283.350.000;271.053;5;3.487,41;285,52;8,19%;0,00%
RBFF11;Títulos e Val. Mob.;64,01;3,66%;5,63%;0,89;239.838.000;727.296;0;0;0;0,00%;0,00%
RBGS11;Shoppings;36,5;2,50%;2,22%;0,4;39.347.000;27.040;1;1.349,78;52,74;3,91%;12,97%
RBHY11;Títulos e Val. Mob.;102,55;3,32%;0,00%;1,01;61.530.000;95.914;0;0;0;0,00%;0,00%
RBIV11;Títulos e Val. Mob.;85;8,47%;4,12%;0,83;87.070.800;471.187;0;0;0;0,00%;0,00%
RBLG11;Logística;99;2,32%;0,00%;0,87;63.379.700;106;0;0;0;0,00%;0,00%
RBRD11;Híbrido;58,13;39,29%;5,96%;0,81;107.644.000;98.831;4;3.740,58;1.618,95;43,28%;27,96%
RBRF11;Títulos e Val. Mob.;79,82;4,56%;5,64%;0,89;1.092.000.000;3.325.660;0;0;0;0,00%;0,00%
RBRL11;Logística;101,21;3,75%;4,72%;0,95;676.795.000;1.569.430;6;3.574,05;130,05;3,64%;0,00%
RBRP11;Outros;79,5;4,56%;4,54%;0,92;968.245.000;2.857.420;11;12.847,70;445,82;3,47%;50,57%
RBRR11;Títulos e Val. Mob.;99,56;4,65%;3,52%;1;760.487.000;2.337.170;0;0;0;0,00%;0,00%
RBRS11;Híbrido;73,9;2,13%;1,08%;0,77;77.199.100;29.894;3;9.570,53;134;1,40%;0,00%
RBRY11;Títulos e Val. Mob.;100,6;4,25%;4,53%;0,98;341.754.000;836.197;0;0;0;0,00%;0,00%
RBVA11;Outros;112,5;6,42%;5,28%;0,99;1.303.670.000;1.172.350;87;9.126,81;845,55;9,26%;0,90%
RBVO11;;12,45;7,31%;3,44%;0,54;6.422.010;6.092;0;0;0;0,00%;0,00%
RCFF11;Títulos e Val. Mob.;100,99;1,70%;4,85%;1,03;32.639.800;10.050;0;0;0;0,00%;0,00%
RCRB11;Lajes Corporativas;143,95;4,62%;3,92%;0,73;531.276.000;819.824;10;11.519,10;700,8;6,08%;7,34%
RCRI11B;Híbrido;1.200,00;4,39%;1,47%;1,16;61.214.400;28;0;0;0;0,00%;0,00%
RDPD11;Títulos e Val. Mob.;63,3;1,61%;2,47%;0,64;68.240.100;31.457;0;0;0;0,00%;0,00%
RECR11;Títulos e Val. Mob.;101,71;8,32%;5,55%;1,06;1.447.980.000;8.786.580;0;0;0;0,00%;0,00%
RECT11;Híbrido;77,8;9,19%;6,29%;0,84;636.353.000;2.160.110;8;7.937,97;979,64;12,34%;28,86%
RECX11;Títulos e Val. Mob.;99,75;0,00%;0,00%;1,09;19.765.600;5.576;0;0;0;0,00%;0,00%
REIT11;Títulos e Val. Mob.;1.140,00;8,95%;11,28%;0,9;29.971.700;262;0;0;0;0,00%;0,00%
RELG11;Híbrido;91,37;1,41%;0,63%;0,95;117.142.000;185.314;3;1.872,89;28,59;1,53%;15,10%
RFOF11;Títulos e Val. Mob.;81,92;4,96%;4,39%;0,89;88.323.200;291.986;0;0;0;0,00%;0,00%
RNDP11;Títulos e Val. Mob.;707;3,69%;2,43%;0,92;75.989.100;17.743;0;0;0;0,00%;0,00%
RNGO11;Lajes Corporativas;62,46;8,38%;4,71%;0,62;167.143.000;197.010;4;3.065,85;334,93;10,92%;18,75%
RRCI11;Títulos e Val. Mob.;83;2,88%;1,22%;0,86;39.985.800;143.922;0;0;0;0,00%;0,00%
RVBI11;Títulos e Val. Mob.;89,53;5,07%;4,38%;0,97;128.923.000;480.231;0;0;0;0,00%;0,00%
RZAK11;Títulos e Val. Mob.;93,56;-0,44%;0,01%;0,96;280.842.000;1.403.130;0;0;0;0,00%;0,00%
RZTR11;Híbrido;94,8;1,99%;2,37%;0,98;1.047.350.000;3.658.490;9;2;0,09;4,33%;0,00%
SADI11;Títulos e Val. Mob.;84,99;4,15%;1,54%;0,85;270.286.000;568.368;0;0;0;0,00%;0,00%
SAIC11B;Lajes Corporativas;39,52;-1,88%;0,00%;0,73;56.503.300;16;1;4.795,65;0;0,00%;100,00%
SARE11;Híbrido;95,03;4,22%;1,96%;0,95;508.841.000;997.862;2;5.733,90;462,74;8,07%;2,30%
SCPF11;Shoppings;9;1,59%;1,23%;0,71;37.800.000;11.169;1;7.754,23;491,08;6,33%;22,30%
SDIL11;Logística;90,06;5,67%;4,26%;0,9;575.938.000;1.117.260;4;3.337,07;173,59;5,20%;13,44%
SEQR11;Outros;85;-0,44%;0,00%;0,8;125.974.000;199.742;0;0;0;1,07%;0,00%
SHPH11;Shoppings;801;2,72%;2,43%;0,97;487.769.000;161.210;1;14.105,80;799,32;5,67%;11,27%
SNFF11;Títulos e Val. Mob.;99,01;0,00%;0,00%;1,02;247.525.000;2.835.580;0;0;0;0,00%;0,00%
SOLR11;Híbrido;1.220,00;6,80%;0,00%;1,18;76.717.300;28;1;9.187,92;703,52;7,66%;0,00%
SPTW11;Lajes Corporativas;55,7;18,46%;12,78%;1,07;100.149.000;388.075;1;4.598,49;1.007,63;21,91%;0,00%
TEPP11;Lajes Corporativas;76,54;7,08%;4,44%;0,81;323.149.000;497.704;4;10.951,10;729,91;6,67%;19,98%
TGAR11;Híbrido;130;5,99%;5,76%;1,02;961.816.000;5.457.240;4;79,18;0;0,00%;0,00%
THRA11;Lajes Corporativas;138,5;4,64%;2,89%;1,22;203.973.000;776.867;1;18.791,00;1.035,09;5,51%;9,81%
TORD11;Híbrido;10,06;2,97%;6,81%;0,95;270.831.000;1.669.180;0;0;0;0,00%;0,00%
TOUR11;Residencial;110;-124,03%;4,07%;0,19;1.100.000;46.258;3;356,94;0;0,00%;0,00%
TRNT11;Lajes Corporativas;143,7;4,02%;2,41%;0,69;565.540.000;20.140;1;8.946,59;605,76;6,77%;50,98%
TRXB11;Híbrido;118,9;8,26%;3,41%;1,12;297.419.000;1.283.070;12;3.116,79;270,09;8,67%;0,00%
TRXF11;Híbrido;101;4,98%;4,05%;0,95;569.794.000;3.377.940;21;1.975,12;153,17;7,76%;0,00%
TSER11;Lajes Corporativas;110;0,00%;0,00%;1,11;132.550.000;26;0;0;0;0,00%;0,00%
URPR11;Outros;129,4;3,63%;7,65%;1,3;214.859.000;1.468.780;0;0;0;0,00%;0,00%
VCJR11;Títulos e Val. Mob.;94,5;3,52%;5,52%;0,95;1.096.570.000;847.578;0;0;0;0,00%;0,00%
VCRR11;Residencial;101,98;0,00%;0,00%;1,02;203.960.000;20.384;0;0;0;0,00%;0,00%
VGHF11;Híbrido;9,79;-2,85%;0,00%;1,01;161.250.000;596.693;0;0;0;0,00%;0,00%
VGIP11;Títulos e Val. Mob.;101,26;3,32%;6,00%;1,06;544.563.000;3.462.780;0;0;0;0,00%;0,00%
VGIR11;Títulos e Val. Mob.;88,57;3,53%;3,39%;0,92;399.133.000;1.024.240;0;0;0;0,00%;0,00%
VIFI11;Títulos e Val. Mob.;86,35;3,35%;4,93%;0,88;242.846.000;501.300;0;0;0;0,00%;0,00%
VILG11;Logística;113,08;3,57%;1,02%;0,99;1.695.910.000;4.838.310;13;3.418,46;152,11;4,45%;0,00%
VINO11;Lajes Corporativas;58,83;6,21%;4,28%;0,98;745.604.000;2.286.370;9;13.959,20;921,24;6,60%;0,00%
VISC11;Shoppings;106;3,01%;2,32%;0,89;1.512.730.000;2.913.280;15;2.775,71;110,68;3,99%;8,25%
VIUR11;Títulos e Val. Mob.;93,01;0,00%;0,00%;0,97;250.627.000;155.593;0;0;0;0,00%;0,00%
VLOL11;Lajes Corporativas;95;5,89%;3,20%;0,98;169.559.000;103.619;1;16.206,00;1.052,46;6,49%;0,04%
VOTS11;Títulos e Val. Mob.;80;-0,04%;2,77%;0,81;66.233.000;2.784;0;0;0;0,00%;0,00%
VRTA11;Títulos e Val. Mob.;106,88;6,84%;4,44%;1,06;1.068.800.000;2.428.970;0;0;0;0,00%;0,00%
VSEC11;Títulos e Val. Mob.;85,05;1,43%;2,56%;224,11;1.432.870.000;100.995;0;0;0;0,00%;0,00%
VSHO11;Shoppings;75,51;0,99%;0,86%;0,75;158.480.000;41.772;3;2.082,03;146,82;7,05%;7,84%
VSLH11;Outros;10,47;1,57%;0,00%;1,04;125.640.000;2.209.990;0;0;0;0,00%;0,00%
VTLT11;Logística;101,9;8,60%;4,79%;1;215.518.000;330.172;1;840,31;84,14;10,01%;0,00%
VVPR11;Lajes Corporativas;97,44;6,22%;4,00%;0,97;224.674.000;232.407;5;5.620,46;489,15;8,70%;0,00%
VXXV11;Outros;721,55;1,50%;0,00%;1,47;37.520.600;108.149;0;0;0;0,00%;0,00%
WPLZ11;Shoppings;60;-0,50%;0,00%;0,57;61.244.800;15.462;1;1.640,96;7,69;0,47%;9,42%
WTSP11B;Híbrido;46,06;6,66%;2,10%;0,58;45.717.500;6.217;1;3.750,59;360,24;9,60%;8,19%
XPCI11;Títulos e Val. Mob.;100;5,74%;4,32%;1,03;656.701.000;3.751.210;0;0;0;0,00%;0,00%
XPCM11;Lajes Corporativas;40,46;29,12%;15,13%;0,56;97.693.500;334.054;1;4.129,77;1.378,96;33,39%;100,00%
XPHT11;Hotel;85,68;0,26%;0,00%;0,99;325.982.000;35.626;11;13.311,80;101,29;0,76%;0,00%
XPIN11;Outros;99,82;8,04%;4,18%;0,9;657.471.000;1.291.740;92;2.410,14;213,3;8,85%;9,89%
XPLG11;Logística;109,79;5,40%;3,58%;0,99;2.975.430.000;6.327.430;15;1.868,97;147,42;7,89%;0,00%
XPML11;Shoppings;103,23;1,77%;2,32%;0,94;1.879.580.000;3.886.990;10;5.337,41;169,91;3,18%;5,43%
XPPR11;Outros;65,69;10,61%;6,50%;0,77;480.599.000;1.941.850;5;9.810,97;785,12;8,00%;46,51%
XPSF11;Títulos e Val. Mob.;91,9;1,76%;5,20%;0,96;397.947.000;1.676.900;0;0;0;0,00%;0,00%
XTED11;Lajes Corporativas;6,95;-8,70%;0,00%;0,5;12.869.100;12.223;1;1.699,44;0;0,00%;0,00%
